Depth	Year	Tangcharnorminv
15	1956	-184.7372194
16	1946	-170.2104718
17	1937	-143.1379967
18	1927	-138.584275
19	1918	-441.6320301
20	1908	-735.7632842
21	1898	-957.7313476
22	1889	-343.6508107
23	1879	-212.3164128
24	1872	-1598.478254
25	1865	-2678.013794
26	1859	-1107.116474
27	1852	-3606.166173
28	1845	-1679.842625
29	1838	-707.364092
30	1831	-1198.414788
31	1824	-2149.2101
32	1816	-1414.728914
33	1809	-765.2847089
34	1802	-3449.798673
35	1794	-1636.454739
36	1787	-1317.312199
37	1779	-3149.053738
38	1772	-2048.975997
39	1764	-1084.318237
40	1756	-2469.646375
41	1748	-3846.254894
42	1741	-2907.510032
43	1733	-1313.065204
44	1724	-806.1277236
45	1716	-838.8839671
46	1708	-3644.34307
47	1700	-949.5398625
48	1692	-2743.715695
49	1683	-1236.767009
50	1675	-1924.061914
51	1666	-745.9017219
52	1658	-302.9868791
53	1649	-1355.579203
54	1640	-418.71354
55	1631	-396.9903546
56	1623	-613.9783754
57	1614	-302.643658
58	1605	-261.5832863
59	1596	-443.6251199
60	1586	-987.6583094
61	1577	-353.7212484
62	1568	-224.927165
63	1559	-114.2172817
64	1549	-109.9475319
65	1540	-203.0952677
66	1530	-173.7017853
67	1521	-2037.196016
68	1511	-201.7501589
69	1501	-427.6032985
70	1491	-636.499914
71	1481	-310.3069112
72	1471	-1710.781311
73	1461	-2623.887531
74	1451	-2213.017137
75	1441	-1119.270751
76	1431	-287.4775242
77	1420	-279.441869
78	1410	-1059.543975
79	1400	-209.0301218
80	1389	-404.2383926
81	1378	-205.8978836
82	1368	-658.8322613
83	1357	-1384.780278
84	1346	-705.3753078
85	1335	-696.5752363
86	1324	-580.9281757
87	1313	-324.6398105
88	1302	-1002.841577
89	1291	-3433.797994
90	1280	-3299.908629
91	1269	-1344.061597
92	1257	-2604.03773
93	1246	-2838.504208
94	1235	-598.9905427
95	1223	-1634.552874
96	1211	-1118.127011
97	1200	-357.0719603
98	1188	-1792.440055
99	1176	-476.5283719
100	1164	-305.8715223
101	1152	-1401.29063
102	1140	-2335.296772
103	1128	-1518.15371
104	1116	-3493.215008
105	1104	-557.7128607
106	1091	-4688.027626
107	1079	-3048.112936
108	1066	-6920.020589
109	1054	-682.8753228
110	1041	-770.8918794
111	1029	-3936.633663
112	1016	-2489.556012
113	1003	-2204.18541
114	990	-3253.542265
115	977	-2101.437889
116	964	-1772.971874
117	951	-3224.091021
118	938	-1453.883639
119	925	-2736.29594
120	912	-841.8214097
121	898	-3234.040298
122	885	-74.87985331
123	871	-531.3602239
124	858	-705.8333854
125	844	-945.4741618
126	830	-1558.07331
127	817	-831.6989914
128	803	-1551.524787
129	789	-1141.508661
130	775	-287.1042187
131	761	-347.2429284
132	747	-260.8869927
133	733	-994.29755
134	718	-1641.059928
135	704	-521.5752607
136	690	-512.7247337
