Depth	Year	lakelevel
0	1993.6	15.5
1	1992.972727	15.5
2	1992.554546	15.2327273
3	1992.136364	14.98181822
4	1991.718182	15.04090905
5	1991.3	15.24999995
6	1990.881818	15.37636366
7	1990.463637	15.2927273
8	1990.045455	15.20909094
9	1989.627273	14.97636374
10	1989.209091	14.72545466
11	1988.41633	14.30816475
12	1987.249663	14.5502025
13	1986.082996	15.2502027
14	1984.916329	15.7669372
15	1983.749662	16.62516925
16	1982.582995	16.95829945
17	1981.536001	16.94639995
18	1980.607429	17
19	1979.678858	17.16057115
20	1978.750286	17.32520041
21	1977.821715	16.51474384
22	1976.893144	15.1786287
23	1975.964572	15.01062837
24	1975.036001	15.28919979
25	1974.107429	15.38925707
26	1973.178858	15.64634263
27	1972.250287	15.9998854
28	1971.321715	16.71045641
29	1970.393144	17.12137126
30	1969.464572	17.36062831
31	1968.710157	17.52898431
32	1968.13121	17.58687905
33	1967.552262	17.33135726
34	1966.973315	17.00533706
35	1966.394367	17.12112654
36	1965.81542	17.31074806
37	1965.236473	17.6581165
38	1964.657525	17.83424749
39	1964.078578	17.89214223
40	1963.49963	17.49970424
41	1962.920683	17.05240974
42	1962.341736	16.7050413
43	1961.762788	16.09673977
44	1961.183841	15.11252919
45	1960.604893	14.87902134
46	1960.025946	14.99481082
47	1959.446999	15.38710105
48	1958.868051	15.71319489
49	1958.289104	15.77108963
50	1957.728832	15.55594849
51	1957.187165	15.06844846
52	1956.645498	14.58094843
53	1956.103832	14.0934484
54	1955.562165	13.60594837
55	1955.020498	13.11844834
56	1954.478831	12.94364944
57	1953.937165	12.81256705
58	1953.395498	12.92090039
59	1952.853831	13.10231806
60	1952.312165	13.48148474
61	1951.770498	13.58524898
62	1951.228831	13.31441563
63	1950.687165	13.07486582
64	1950.145498	12.85819914
65	1949.603831	13.03770131
66	1949.062164	13.36270133
67	1948.520498	13.68770135
68	1947.978831	13.99576621
69	1947.437164	13.88743287
70	1946.895498	13.66414695
71	1946.353831	12.95998024
72	1945.812164	12.5751343
73	1945.270498	12.79180098
74	1944.3125	13.10625
75	1942.9375	14.53125
76	1941.5625	14.9125
77	1940.1875	15.36875
78	1938.8125	16.2625
79	1937.4375	17.4
80	1936.0625	16.8375
81	1934.6875	17.01875
82	1933.3125	17.98125
83	1931.9375	18.94375
84	1930.5625	19.46875
85	1929.1875	18.65
86	1927.8125	19.43125
87	1926.4375	20.1125
88	1925.0625	20.48125
89	1923.6875	21.09375
90	1922.3125	20.75
91	1920.9375	21.03125
92	1919.5625	21.5
93	1918.1875	22.06875
94	1916.8125	21.625
95	1915.4375	19.8875
96	1914.0625	20.45625
97	1912.6875	20.4375
98	1911.3125	20.09375
99	1909.9375	20.03125
100	1908.5625	20.71875
101	1907.1875	22.3
102	1905.8125	24.61875
103	1904.4375	25.775
104	1903.0625	25.31875
105	1901.6875	25.09375
106	1900.3125	25.4375
107	1898.9375	25.8125
108	1897.5625	26.175
109	1896.1875	26.725
110	1894.8125	27.175
111	1893.4375	26.7125
112	1892.0625	24.7875
113	1890.6875	22.83125
114	1889.3125	20.8375
115	1887.9375	18.94375
116	1886.5625	17.70625
117	1885.1875	16.46875
118	1883.8125	15.23125
119	1882.4375	13.9375
120	1881.0625	12.5625
121	1879.6875	12
122	1875.249875	12
124	1873.249875	12
126	1869.788335	12
128	1867.788335	12
130	1864.326795	12
132	1862.326795	14
134	1858.865255	16
136	1856.865255	16
138	1853.403715	16
140	1851.403715	16
142	1847.942175	10.5
144	1845.942175	5
146	1842.480635	5
148	1840.480635	5
150	1837.019095	5
152	1835.019095	5.333333333
154	1831.557555	5.666666667
156	1829.557555	6
158	1826.096015	6.333333333
160	1824.096015	6.666666667
162	1820.54066	7
164	1818.54066	8.818181818
166	1814.702276	10.63636364
168	1812.702276	12.45454545
170	1808.863892	14.27272727
172	1806.863892	16.09090909
174	1803.025508	17.90909091
176	1801.025508	19.72727273
178	1797.187124	21.54545455
180	1795.187124	23.36363636
182	1791.34874	25.18181818
184	1789.34874	27
186	1785.510356	24.66666667
188	1783.510356	22.33333333
190	1779.671972	20
192	1777.671972	21.75
194	1773.833588	23.5
196	1771.833588	25.25
198	1767.995204	27
200	1765.995204	29.25
202	1762.15682	31.5
204	1760.15682	33.75
206	1756.318436	36
208	1754.318436	36
210	1750.480052	36
212	1748.480052	36
214	1744.641668	36
216	1742.641668	36
218	1738.803284	36
220	1736.803284	36
222	1732.9649	36
224	1730.9649	36
226	1727.126516	36
228	1725.126516	36
230	1721.288132	36
232	1719.288132	36
234	1715.449748	36
236	1713.449748	36
238	1709.611364	36
240	1707.611364	36
242	1703.77298	36
244	1701.77298	36
246	1697.934596	36
248	1695.934596	36
250	1692.096212	36
252	1690.096212	33.75
